fishing_event_id,year,month,day,time_deployed,time_retrieved,vessel_id,captain_id,area_swept
308826,2003,7,25,2003-07-25T08:10:00Z,2003-07-25T08:30:00Z,460,351,119340
308827,2003,7,25,2003-07-25T09:25:00Z,2003-07-25T09:46:00Z,460,351,130944.00000000001
308828,2003,7,25,2003-07-25T10:47:00Z,2003-07-25T11:07:00Z,460,351,126776.00000000001
308829,2003,7,25,2003-07-25T12:39:00Z,2003-07-25T13:00:00Z,460,351,124583.99999999999
308830,2003,7,25,2003-07-25T14:05:00Z,2003-07-25T14:26:00Z,460,351,141550
308832,2003,7,25,2003-07-25T16:50:00Z,2003-07-25T17:11:00Z,460,351,136344
308833,2003,7,25,2003-07-25T17:41:00Z,2003-07-25T18:02:00Z,460,351,129386.99999999999
308834,2003,7,25,2003-07-25T19:09:00Z,2003-07-25T19:30:00Z,460,351,142848
308730,2003,7,11,2003-07-11T19:09:00Z,2003-07-11T19:29:00Z,460,351,117469.99999999999
308731,2003,7,11,2003-07-11T20:32:00Z,2003-07-11T20:51:00Z,460,351,137350
308732,2003,7,12,2003-07-12T06:58:00Z,2003-07-12T07:18:00Z,460,351,123132
308733,2003,7,12,2003-07-12T08:30:00Z,2003-07-12T08:51:00Z,460,351,84206
308734,2003,7,12,2003-07-12T09:46:00Z,2003-07-12T10:06:00Z,460,351,131984
308735,2003,7,12,2003-07-12T10:45:00Z,2003-07-12T11:06:00Z,460,351,143220
308737,2003,7,12,2003-07-12T13:27:00Z,2003-07-12T13:48:00Z,460,351,119535
308738,2003,7,12,2003-07-12T15:20:00Z,2003-07-12T15:41:00Z,460,351,134792
308739,2003,7,12,2003-07-12T17:09:00Z,2003-07-12T17:31:00Z,460,351,35175
308740,2003,7,12,2003-07-12T18:28:00Z,2003-07-12T18:49:00Z,460,351,137616
308741,2003,7,12,2003-07-12T20:02:00Z,2003-07-12T20:24:00Z,460,351,141531
308742,2003,7,13,2003-07-13T08:28:00Z,2003-07-13T08:53:00Z,460,351,150696
308743,2003,7,13,2003-07-13T10:53:00Z,2003-07-13T11:14:00Z,460,351,111028
308707,2003,7,8,2003-07-08T07:04:00Z,2003-07-08T07:25:00Z,460,351,142128
308706,2003,7,7,2003-07-07T20:42:00Z,2003-07-07T21:01:00Z,460,351,101871
308705,2003,7,7,2003-07-07T19:22:00Z,2003-07-07T19:42:00Z,460,351,144430
308703,2003,7,7,2003-07-07T16:38:00Z,2003-07-07T16:59:00Z,460,351,128522
308702,2003,7,7,2003-07-07T15:17:00Z,2003-07-07T15:36:00Z,460,351,138768
308700,2003,7,7,2003-07-07T12:41:00Z,2003-07-07T13:01:00Z,460,351,135000
308673,2003,7,4,2003-07-04T17:37:00Z,2003-07-04T18:01:00Z,460,351,132680
308689,2003,7,6,2003-07-06T12:30:00Z,2003-07-06T12:50:00Z,460,351,126192
308688,2003,7,6,2003-07-06T11:20:00Z,2003-07-06T11:40:00Z,460,351,137270
308687,2003,7,6,2003-07-06T10:19:00Z,2003-07-06T10:37:00Z,460,351,131580
308686,2003,7,6,2003-07-06T09:19:00Z,2003-07-06T09:39:00Z,460,351,122187
308685,2003,7,6,2003-07-06T08:16:00Z,2003-07-06T08:37:00Z,460,351,131544
308684,2003,7,6,2003-07-06T07:01:00Z,2003-07-06T07:22:00Z,460,351,150144
308683,2003,7,5,2003-07-05T20:52:00Z,2003-07-05T21:14:00Z,460,351,135408
308682,2003,7,5,2003-07-05T16:28:00Z,2003-07-05T16:48:00Z,460,351,138666
308681,2003,7,5,2003-07-05T14:54:00Z,2003-07-05T15:14:00Z,460,351,137472
308680,2003,7,5,2003-07-05T13:37:00Z,2003-07-05T13:59:00Z,460,351,143318
308836,2003,7,26,2003-07-26T06:25:00Z,2003-07-26T06:47:00Z,460,351,126608
308837,2003,7,26,2003-07-26T08:19:00Z,2003-07-26T08:41:00Z,460,351,128592
308838,2003,7,26,2003-07-26T09:48:00Z,2003-07-26T10:10:00Z,460,351,153648
308839,2003,7,26,2003-07-26T11:39:00Z,2003-07-26T11:58:00Z,460,351,137520
308910,2003,8,6,2003-08-06T19:10:00Z,2003-08-06T19:29:00Z,460,351,134464
308911,2003,8,6,2003-08-06T20:37:00Z,2003-08-06T20:58:00Z,460,351,127257
308912,2003,8,7,2003-08-07T06:05:00Z,2003-08-07T06:25:00Z,460,351,136160
308913,2003,8,7,2003-08-07T07:30:00Z,2003-08-07T07:52:00Z,460,351,134250
308914,2003,8,7,2003-08-07T09:06:00Z,2003-08-07T09:27:00Z,460,351,141906
308915,2003,8,7,2003-08-07T10:42:00Z,2003-08-07T11:01:00Z,460,351,135801
308916,2003,8,7,2003-08-07T11:41:00Z,2003-08-07T12:03:00Z,460,351,137268
308918,2003,8,7,2003-08-07T14:47:00Z,2003-08-07T15:08:00Z,460,351,112815.99999999999
308919,2003,8,7,2003-08-07T17:34:00Z,2003-08-07T17:54:00Z,460,351,125475
308920,2003,8,7,2003-08-07T19:15:00Z,2003-08-07T19:36:00Z,460,351,151495
308921,2003,8,7,2003-08-07T20:55:00Z,2003-08-07T21:16:00Z,460,351,119354.00000000001
308922,2003,8,8,2003-08-08T06:00:00Z,2003-08-08T06:19:00Z,460,351,129777
308923,2003,8,8,2003-08-08T07:10:00Z,2003-08-08T07:31:00Z,460,351,131940
308924,2003,8,8,2003-08-08T08:59:00Z,2003-08-08T09:17:00Z,460,351,108654.99999999999
308925,2003,8,8,2003-08-08T10:22:00Z,2003-08-08T10:43:00Z,460,351,119651.99999999999
308891,2003,8,4,2003-08-04T10:10:00Z,2003-08-04T10:31:00Z,460,351,122360
308679,2003,7,5,2003-07-05T12:31:00Z,2003-07-05T12:52:00Z,460,351,143219
308678,2003,7,5,2003-07-05T11:11:00Z,2003-07-05T11:33:00Z,460,351,137902
308677,2003,7,5,2003-07-05T09:22:00Z,2003-07-05T09:44:00Z,460,351,133032
308675,2003,7,4,2003-07-04T20:15:00Z,2003-07-04T20:39:00Z,460,351,124830
308674,2003,7,4,2003-07-04T19:12:00Z,2003-07-04T19:33:00Z,460,351,140901
501770,2004,7,6,2004-07-06T19:26:00Z,2004-07-06T19:47:00Z,460,351,140160
501771,2004,7,6,2004-07-06T20:52:00Z,2004-07-06T21:14:00Z,460,351,140544
501772,2004,7,7,2004-07-07T05:43:00Z,2004-07-07T06:07:00Z,460,351,131025.99999999999
501773,2004,7,7,2004-07-07T06:57:00Z,2004-07-07T07:19:00Z,460,351,123660
501774,2004,7,7,2004-07-07T07:40:00Z,2004-07-07T08:01:00Z,460,351,147920
501775,2004,7,7,2004-07-07T08:52:00Z,2004-07-07T09:14:00Z,460,351,125106.00000000001
501776,2004,7,7,2004-07-07T11:34:00Z,2004-07-07T11:53:00Z,460,351,134135
501777,2004,7,7,2004-07-07T12:38:00Z,2004-07-07T12:58:00Z,460,351,138684
501778,2004,7,7,2004-07-07T13:56:00Z,2004-07-07T14:18:00Z,460,351,147784
501779,2004,7,7,2004-07-07T14:52:00Z,2004-07-07T15:13:00Z,460,351,141814
501780,2004,7,7,2004-07-07T16:33:00Z,2004-07-07T16:54:00Z,460,351,136718
501781,2004,7,7,2004-07-07T18:33:00Z,2004-07-07T18:56:00Z,460,351,157290
501782,2004,7,7,2004-07-07T19:56:00Z,2004-07-07T20:16:00Z,460,351,162588
501783,2004,7,7,2004-07-07T21:08:00Z,2004-07-07T21:32:00Z,460,351,180120
501784,2004,7,8,2004-07-08T06:15:00Z,2004-07-08T06:38:00Z,460,351,141960
501786,2004,7,8,2004-07-08T10:22:00Z,2004-07-08T10:44:00Z,460,351,145368
501787,2004,7,8,2004-07-08T11:33:00Z,2004-07-08T11:54:00Z,460,351,138294
501788,2004,7,8,2004-07-08T13:21:00Z,2004-07-08T13:43:00Z,460,351,166440
501789,2004,7,8,2004-07-08T15:14:00Z,2004-07-08T15:35:00Z,460,351,126819
501790,2004,7,8,2004-07-08T18:40:00Z,2004-07-08T19:00:00Z,460,351,120818
